transcription_text,start,stop,path
แต่ ถ้า ยัง ยัง ยัง อยาก ใช้ บัตร ก็ จ่าย ขั้น ต่ำ แล้ว เขา เอา ไว้ ก่อน,153.55,156.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/14/52306_0c00ba05feacadb-50101001528355713-0.wav
ต้อง จ่าย ขั้น ต่ำ ไป ก่อน ไหม,272.05,274.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/10/52315_6756b6acbe0537d-50101001528168114-0.wav
แล้ว ก็ เดือน ต่อ ไป จ่าย ขั้น ต่ำ เข้า มา,138.18,141.46,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/11/52315_5cdb4e305ee63fd-50101001528086666-0.wav
อ่า ถ้า ตาม ยอด ที่ แจ้ง ไป มัน จะ ยัง กด ไม่ ได้ อ่ะ ค่ะ เพราะ ว่า ยอด จ่าย ขั้น ต่ำ หนึ่ง พัน หนึ่ง ร้อย อ่ะ ค่ะ,53.05,59.97,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/10/52312_7d70d8fb4081e9d-50101001528083680-0.wav
คือ ถ้า ถ้า พี่ จ่าย ขั้น ต่ำ อ่ะ สอง พัน หก ร้อย สิบ บาท,62.2,66.04,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/02/17/52317_22cd101996dac15-50101001527934735-0.wav
อือ เพราะ ว่า นึก ว่า จ่าย ขั้น ต่ำ พัน นึง พอดี ว่า มัน ไม่ ถึง ก็ เลย กลัว จะ ยัง ไม่ ตัด ยอด ให้,98.05,104.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/01/17/52317_0c7adcb0a04295b-50101001527848806-0.wav
ก่อน วัน ที่ ห้า แต่ว่า วันนี้ ยังไง จ่าย ขั้น ต่ำ มา ก่อน นะ คะ,100.51,103.24,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/01/14/52311_eb85b4f6234983f-50101001527836843-0.wav
ให้ ลูกค้า สำรอง จ่าย ขั้น ต่ำ ที่ เซเว่น นะ ครับ แล้ว ก็ ถ้า มี รหัส ถูก ว่า รหัส กด เงิน คืน หมุน ได้ เลย เพราะ ว่า,63.65,68.84,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-144-20244001528369421-50713.wav
คุณ จ่าย ขั้น ต่ำ มัน เข้า ดอกเบี้ย ส่วน นึง ก่อน ที่ เหลือ มัน ก็ จะ ไป ถอน คืน ใน บัตร ให้ ก็ เท่ากับ ว่า,56.6,60.84,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-144-20244001528369421-50713.wav
เอ่อ ถ้า อย่าง งั้น ลูกค้า วัน นี้ ลูกค้า จ่าย ขั้น ต่ำ ก่อน ได้ ไหม,20.1,24.49,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-18-20118001528369161-50497.wav
ก็ คือ คุณ จ่าย ขั้น ต่ำ มา ตลอด ใช่ มั้ย คะ,90.25,93.14,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-203-40303001528368736-351052.wav
นะ คะ ก็ อันนี้ ตกลง จะ จ่าย ขั้น ต่ำ,366.95,369.04,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-11-20111001528366709-47557.wav
คุณ คุณ ถ้า คุณ จ่าย ขั้น ต่ำ มัน จะ กด คืน ได้ สอง พัน เจ็ด ร้อย อ่ะ ค่ะ,16.75,21.31,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-172-40272001528363971-344409.wav
ค่ะ ตอน เย็น นี้ นะ คะ ยอด จ่าย ขั้น ต่ำ หก ร้อย ยี่ สิบ ห้า บาท นะ คะ,75.6,79.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-170-20270001528362946-42358.wav
จ่าย ขั้นต่ำ ก็ พอ อยู่ ที่ สี่ หก หนึ่ง,78.2,80.92,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-17-20117001528362298-41568.wav
ห้า พัน เนาะ ถ้า จะ จ่าย ขั้นต่ำ มัน จะ กด ได้ แค่ สี่ พัน หนึ่ง,38.35,42.34,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-164-40264001528361876-341765.wav
จ่าย ขั้น ต่ำ คือ พัก ตาม บิล ยอด บิล ใช่ ไหม คะ,116.45,121.26,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-180-20280001528361863-40922.wav
อือ ก็ คือ ถ้า จ่าย ขั้น ต่ำ มา แปด ร้อย หก สิบ สาม ก็ คือ ยัง กด เงิน ได้ อ่ะ ค่ะ หนึ่ง พัน บาท,28.52,32.89,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-44-20144001528361135-39903.wav
โอ้ ได้ หมื่น สาม เลย จ่าย ขั้น ต่ำ,114.65,116.74,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-190-20290001528360385-38824.wav
ก็ จะ เสีย ส่วน ต่าง อิออน เจ็ด ร้อย แต่ว่า ถ้า เกิด ว่า จ่าย ขั้น ต่ำ พัน เจ็ด สิบ บาท มัน กด ไม่ ได้ ไง,54.35,58.54,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-209-40309001528359479-338714.wav
ก็ จ่าย ขั้น ต่ำ เท่าไหร่ ครับ,52.1,53.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-171-20271001528358720-36663.wav
ยอด ที่ คุณ ลูกค้า จ่าย มา นี่ มัน น่า จะ เป็น ยอด ของ สอง เดือน ห้า เพราะ สอง เดือน ห้า ลูกค้า จ่าย ขั้น ต่ำ ห้า พัน สาม,32.25,39.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-173-20273001528358391-36227.wav
ทีนี้ ถ้า เกิด ว่า ถ้า ถ้า เกิด จ่าย ขั้น ต่ำ อ่ะ มัน จะ ไม่ ครบ หลัก พัน นะ ครับผม,175.9,179.89,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-144-20244001528357563-35074.wav
ทีนี้ เวลา เรา จ่าย ขั้น ต่ำ ปุ๊บ เนี่ย มัน ต้อง เข้า ดอกเบี้ย ส่วน นึง แต่ ยอด ที่ ผม แนะนำ คุณ ลูกค้า เมื่อ สักครู่ เนี่ย,164.7,169.34,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-144-20244001528357563-35074.wav
อ่า มัน มัน จะ อ่า ถ้า เกิด ว่า จ่าย ขั้น ต่ำ อ่ะ มัน จะ ต้อง ไป เข้า ดอกเบี้ย ส่วน นึง ก่อน นะ ครับ,145.2,150.49,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-144-20244001528357563-35074.wav
เขา บอก หนู ให้ จ่าย ขั้น ต่ำ เท่าไหร่ หนู จำไม่ได้ ค่ะ,90.1,92.64,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-171-20271001528356214-33029.wav
อ่า พอดี ถ้า จ่าย ขั้น ต่ำ เดือน ที่ แล้ว มัน จะ ไม่ เข้า เงิน ต้น เลย มัน ก็ จะ เข้า แต่ ดอกเบี้ย กับ ค่า ปรับ,92.65,97.84,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-171-20271001528356214-33029.wav
ถ้า ลูกค้า หมุน จ่าย เข้า มา ได้ นะ คะ ยอด จ่าย ขั้น ต่ำ มัน อยู่ ที่ ห้า พัน เก้า ร้อย สาม สิบ หก บาท,44.8,50.14,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-170-20270001528356129-32736.wav
อ๋อ เห็น น้อง เขา บอก ว่า จ่าย ไป พัน กว่า บาท ก็ ได้ จ่าย ขั้น ต่ำ,40.75,45.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-209-40309001528355311-334049.wav
