transcription_text,start,stop,path
ทำงาน ที่ไหน เนี่ย บิ๊กซี หรือ ที่ไหน อ่ะ,44,45.69,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/08/16/52303_01e0befff785e72-50101001528450710-0.wav
ตอน นี้ เขา ไป ทำงาน ที่ไหน อ่ะ คะ พี่,41.9,43.64,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/08/11/52310_2490d770229d869-50101001528431622-0.wav
พี่ ทำงาน ที่ไหน ครับ,61.9,62.94,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/08/10/52314_6a0eff9334f1e95-50101001528427137-0.wav
ลูกค้า ย้าย ที่ ทำงาน แล้ว มา ทำงาน ที่ไหน คะ ปัจจุบัน นี้,106.35,109.79,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/17/52317_83064da1927f74b-50101001528366619-0.wav
ตอน นี้ ลูกค้า ทำงาน ที่ไหน ครับ ตอน นี้ ขอ อนุญาต รบกวน นิดนึง,59.2,61.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/16/52303_031da72d1460210-50101001528276146-0.wav
เพราะ ว่า เรา ก็ ไม่ ทราบ น้อง ว่า เขา ทำงาน ที่ไหน ถ้า เขา ไม่ แจ้ง อ่ะ ค่ะ ตาม ตาม ความ เป็น จริง อ่ะ ค่ะ,68.8,73.79,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/15/52317_86ef6b9110e3284-50101001528272375-0.wav
ที่ ที่ไหน ครับ เมื่อ ก่อน เขา ทำงาน ที่ไหน,39.65,41.64,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/15/52314_d59b57b9e192a1d-50101001528273565-0.wav
เขา ทำงาน ที่ไหน อ่ะ คะ,178.1,179.89,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/12/52318_4373e5e38cef75a-50101001528263679-0.wav
เอ่อ พอ จะ ถ้า ไม่ พี่ ได้ ไหม ถ้า วัน หลัง พี่ เซอร์เวย์ ไหม อ่ะ ว่า เขา ทำงาน ที่ไหน,24.05,28.34,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/11/52317_392ecc807ba5fcd-50101001528258233-0.wav
อืม แล้ว หมายถึง ว่า ตอน นี้ เขา ทำงาน ที่ไหน อ่ะ คะ,42.5,47.44,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/09/52318_afa6d5bc6e33a72-50101001528253886-0.wav
ค่ะ ไม่ เป็นไร ค่ะ อยู่ ที่ ทำงาน ที่ไหน คะ พี่,81.95,84.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/18/52317_03792e30c84fe4a-50101001528196540-0.wav
อ๋อ เขา ทำงาน ทำงาน ที่ไหน ครับ,25.35,27.34,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/17/52314_4220aa7172d7b45-50101001528195268-0.wav
เขา ไป ทำงาน ที่ไหน,146.7,148.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/13/52305_7cacf0831a881f4-50101001528181513-0.wav
อืม แล้ว ตอน นี้ คุณ %name(ฉัตรแก้ว)% เขา ไป ทำงาน ที่ไหน อ่ะ คะ,61.2,64.74,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/11/52318_3ad6b5f3d0704ce-50101001528171294-0.wav
ทำงาน ที่ไหน ครับ,48.85,49.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/17/52314_cf7c0d6529b444d-50101001528108297-0.wav
ไม่ แน่ใจ ค่ะ คุณ พี่ แล้ว เขา ทำงาน ที่ไหน ค่ะ %address (อบต.บ่อ ยาง)% เหรอ คะ,60.95,65.34,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/14/52317_b9f139c478136f0-50101001528095948-0.wav
ขอโทษ นะ ครับ พี่ ทำงาน ที่ไหน ครับ,87.75,89.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/10/52314_ae2489b0c128766-50101001528083550-0.wav
ทำงาน ที่ไหน ครับ,56.65,57.64,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/09/52314_e1611ca29288ec5-50101001528079583-0.wav
เขา ทำงาน ที่ไหน ครับ,37.1,38.24,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/02/15/52314_54552bc7dc950eb-50101001527927158-0.wav
ไป ทำ ที่ไหน อ่ะ ครับ เขา ทำงาน ที่ไหน ครับ,32.8,35.39,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/02/15/52314_54552bc7dc950eb-50101001527927158-0.wav
เขา ทำงาน ที่ไหน ครับ,81.74,82.94,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/02/10/52314_1c481cd93a42e74-50101001527910980-0.wav
ผม ขอโทษ น่ะ เขา ทำงาน ที่ไหน นะ,28.85,30.59,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/02/09/52314_4941d88e3e72be4-50101001527907467-0.wav
อ๋อ ออก หลาย ปี แล้ว ใช่ ไหม ค่ะ %(ขอบ)% แล้ว พอ จะ ทราบ ไหม คะ ว่า เขา ไป ทำงาน ที่ไหน คะ,51.4,55.88,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-57-20157001528361217-40159.wav
เขา ทำงาน ที่ไหน อ่ะ คะ,68.95,70.14,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-43-20143001528359193-37171.wav
