transcription_text,start,stop,path
ก็ อีก สี่ งวด ที่ เก้า งวด นี้ หนึ่ง งวด แล้ว ก็ อีก สาม งวด ปิด บัญชี เลย พี่ เนาะ ทั้งหมด นะ ครับ พี่,59.4,63.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/14/52303_c22c2bdc5b903de-50101001528355428-0.wav
ถ้า ปิด บัญชี แล้ว ก็ หมด แล้ว พี่ เนาะ,35.2,36.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/14/52303_c22c2bdc5b903de-50101001528355428-0.wav
พี่ ครับ ของ พี่ เหลือ อีก ประมาณ สี่ งวด ปิด บัญชี แล้ว เนาะ พี่ เนาะ จะ ปิดบัญชี แหละ พี่,29.15,33.24,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/14/52303_c22c2bdc5b903de-50101001528355428-0.wav
มี ไป เนี่ย เดี๋ยว พี่ หา เพิ่ม อาทิตย์ ก็ อยาก จะ ปิด บัญชี และ แปด พัน นี่ พี่ ก็ ยัง พี่ ป่วย ด้วย ไง คือ ออก จาก โรงพยาบาล,93.85,99.54,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/13/52320_11e5f59f57178f8-50101001528351572-0.wav
เพราะ ว่า อยู่ เรา ปิด บัญชี วัน ที่ สิบห้า ครับผม อาทิตย์ นะ,139.4,142.39,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/10/52306_2b7f5cc15ad91d2-50101001528343272-0.wav
คือ พี่ จะ จ่าย วัน ปิดบัญชี ผม ยัง ไม่ ว่าง เลย,180,182.54,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/10/52304_6b7b5fb7fc600ef-50101001528341196-0.wav
จริง อ่ะ ถ้า ถ้า เลท ไป จน ถึง ใกล้ ปิด บัญชี อ่ะ,123.2,126.49,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/10/52304_6b7b5fb7fc600ef-50101001528341196-0.wav
ผม ปิดบัญชี ก่อนสัก อ่า วัน,67.09,69.39,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/08/52306_b837832c7a98ae6-50101001528335509-0.wav
ผม ไม่ ได้ ปิด บัญชี สิ้น เดือน ปิด,65.28,66.75,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/08/52306_b837832c7a98ae6-50101001528335509-0.wav
อ่า ไอ้ส่วนยอดทองพี่ อ่าจะปิดบัญชีได้แล้วเนาะ ยอด เหลือแค่หมื่นเดียว เนาะพี่เนาะ,41.45,45.94,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/17/52303_3a8ccdb4890ccf5-50101001528281719-0.wav
