transcription_text,start,stop,path
ต้อง จ่าย ขั้น ต่ำ ไป ก่อน ไหม,272.05,274.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/10/52315_6756b6acbe0537d-50101001528168114-0.wav
อือ เพราะ ว่า นึก ว่า จ่าย ขั้น ต่ำ พัน นึง พอดี ว่า มัน ไม่ ถึง ก็ เลย กลัว จะ ยัง ไม่ ตัด ยอด ให้,98.05,104.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/01/17/52317_0c7adcb0a04295b-50101001527848806-0.wav
จ่าย ขั้น ต่ำ คือ พัก ตาม บิล ยอด บิล ใช่ ไหม คะ,116.45,121.26,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-180-20280001528361863-40922.wav
ก็ จ่าย ขั้น ต่ำ เท่าไหร่ ครับ,52.1,53.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-171-20271001528358720-36663.wav
เขา บอก หนู ให้ จ่าย ขั้น ต่ำ เท่าไหร่ หนู จำไม่ได้ ค่ะ,90.1,92.64,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-171-20271001528356214-33029.wav
อ๋อ เห็น น้อง เขา บอก ว่า จ่าย ไป พัน กว่า บาท ก็ ได้ จ่าย ขั้น ต่ำ,40.75,45.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-209-40309001528355311-334049.wav
โอเค ค่ะ อ่า โทษ นะ คะ ลอง เช็ค ให้ ได้ ไหม คะ ว่า ถ้าต้อง จะ จะเอาไปใช้จ่ายค่าโทรศัพท์อ่ะค่ะ ประมาณ พัน สอง อ่ะ ค่ะ จ่าย จ่ายขั้นต่ำก็ยังใช้งานได้ไหมคะ,27.82,41.35,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-173-20273001528354457-29666.wav
มัน มัน ไม่ พอ ก็ เลย เดือน เนี้ย ก็ เลย จ่าย ขั้น ต่ำ ไป ก่อน,79.45,83.04,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-18-20118001528343954-16860.wav
จ่าย ขั้น ต่ำ ไป ก่อน,39.45,40.59,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-18-20118001528343954-16860.wav
แฟน ผม จ่าย ขั้น ต่ำ ไป แล้ว ก็,22.72,25.24,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-18-20118001528343954-16860.wav
อ๋อ จ่าย ขั้นต่ำ ใช่ ไหม,77.35,80.69,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-16-20116001528341216-11850.wav
จ่ายขั้นต่ำได้มั้ยครับ,88.97,90.28,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span05-04-10504001507022736-78.wav
ที่อื่นก็มีเหมือนกันค่ะ แต่ว่ายังไม่ได้ฟ้องก็เพราะที่บ้านก็มีจ่ายขั้นต่ำไปบ้างอย่างเงี้ยค่ะ,127.44,134.95,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span04-24-60424001507002615-68.wav
คือ มัน มันก็ต้องจ่ายขั้นต่ำตามระบบ เพราะว่ามันฟ้องไปแล้ว,475.04,478.2,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span03-18-60318001507014714-32.wav
ถ้าผ่อนชำระนี่คือต้องจ่ายขั้นต่ำยังไงบ้างครับผม,39.98,42.97,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span03-18-60318001507014714-32.wav
แต่สามตัวเนี่ย ผมไป ผมก็ไปไกลเกลี่ยในศาล ผมก็จะจ่าย ขั้นต่ำ,442.2,445.98,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span03-18-60318001507014714-32.wav
แล้วถ้าจ่ายขั้นต่ำ จ่ายขั้นต่ำอย่างช้าที่สุดอ่ะค่ะ ได้วันไหนคะพี่,60.62,65.76,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span01-07-60107001507023864-159.wav
มันเป็นยอดแบบว่าต้องจ่ายขั้นต่ำหมื่นสี่อะไรสักอย่าง เอ้า ไหนเขาบอกว่า,91.77,98.21,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span04-31-30431001506922618-115.wav
พี่ต้องจ่ายขั้นต่ำเข้าไปเหมือนเดิมน่ะค่ะ,40.82,43.93,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span03-07-60307001506928453-93.wav
ค่ะ เอ่อ พี่คะ แล้วถ้าสมมุติหนูจะปรับปรุงโครงสร้างหนี้อ่ะค่ะ คือแบบ จ่ายขั้นต่ำไปเลยอ่ะค่ะ ไม่ใช่บัตรแล้วอ่ะ,47.91,55.3,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span04-13-60413001506927607-35.wav
อ๋อ งั้นก็คงจ่ายขั้นต่ำเข้าไปก่อนนะคะ สองพันแปดร้อยสิบบาทนะ,86.5,91.15,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span03-27-60327001506927978-191.wav
ต้องจ่ายขั้นต่ำประมาณเดือนเท่าไหร่คะ ต้อง ต้องถามทางพี่ก่อน,54.2,57.95,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span09-09-30909001506917926-133.wav
%?% วันนี้จะจ่ายขั้นต่ำสี่ร้อย,60.85,62.85,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span05-25-10525001506927840-15.wav
และคำนวณดอกเบี้ยใหม่แล้วก็เรามีความสามารถจ่ายขั้นต่ำเท่าไหร่ แล้วก็ไปเซ็นเอกสารนู้นนี้นั้นอือ,296.69,304.08,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span10-25-31025001506929646-232.wav
%?% เค้าบอกว่าขั้นต่ำเท่านี้ เราก็จ่ายขั้นต่ำเท่านี้ อย่างเงี้ยฮะ,133.2,137.11,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span02-24-60224001506935935-228.wav
