transcription_text,start,stop,path
เขา ทำงาน ที่ไหน อ่ะ,31.7,32.84,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/08/11/52315_0eb81ef73259626-50101001528433317-0.wav
ว่า ทำงาน ที่ไหน อะไร ยังไง อ่ะ นะ,84,85.84,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/11/52317_392ecc807ba5fcd-50101001528258233-0.wav
เขา ทำงาน ที่ไหน อ่ะ,92.8,93.94,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/15/52307_fae4968591393a2-50101001528099666-0.wav
เขา ทำงาน ที่ไหน,85.15,86.29,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/15/52307_fae4968591393a2-50101001528099666-0.wav
ไม่ ค่ะ เพราะ ว่า ไม่ รู้ เขา ไป ทำงาน ที่ไหน ต่อ,62.8,65.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/02/09/52314_f11b005016ac615-50101001527907256-0.wav
ไม่รู้ว่าเขาย้ายไปทำงานที่ไหนอ่ะค่ะ เพราะว่าอาจารย์เขาเป็นอาจารย์จ้างค่ะ โรงเรียนทีนี้ โรงเรียนเลิกจ้างค่ะ ก็เลยไม่ได้ติดต่อกับอาจารย์อีกเลยค่ะ,44.83,53.73,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span06-13-10613001507017286-176.wav
จะไปทำงานที่ไหนฮะ,55.19,56.33,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span11-07-31107001506935095-200.wav
เพราะว่าพอเราไปทำงานที่ไหนอย่างเงี้ย เรามีประวัติแบบมีเขามาทวงหนี้อย่างเงี้ย,238.8,243.6,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span01-18-60118001506932130-10.wav
ใช่ค่ะพนักงานแจ้งไหมคะ ว่าเป็นทำงานที่ไหนอ่ะค่ะ,108.2,111.67,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span06-04-10604001506927301-179.wav
อ่าแล้วผมทำงานที่ไหนครับ,50.31,52.26,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span10-30-31030001506932450-51.wav
แล้วอ่ะไม่อยู่ครับ เขาทำงานอ่าเขาระบุไปว่าเขาทำงานที่ไหนครับ,44.5,48.85,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span10-30-31030001506932450-51.wav
เอ่อขอระบุที่ทำงานที่ไหนอ่ะคะ,23.97,26.64,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span10-07-31007001506925135-204.wav
พนักงานทำงานที่ไหนคะ %?% หรือ %?%,25.35,27.71,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span05-22-10522001506929672-35.wav
