transcription_text,start,stop,path
เดี๋ยว จะ ปิด บัญชี ไม่ ดี เหรอ ผม,83.75,85.44,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/08/14/52316_aa7b217151a69ae-50101001528443414-0.wav
ได้ ค่ะ มัน ได้ มัน จะ ปิด บัญชี เลย,136.05,138.59,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/15/52314_2b8c80f8d4e52a5-50101001528275509-0.wav
ถ้า เรา ต้อง ปิด บัญชี ก็ ต้อง ปิด เท่าไหร่ เงี้ย,42.4,44.69,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/17/52312_69f50398f1ab547-50101001528194636-0.wav
ไม่ใช่ ครับ เขา คง ปิด บัญชี ตั้งแต่ เดือน ไหน ไม่ รู้ พนักงาน คำนวณ ให้ เขา,157.9,162.39,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/17/52311_2ef3e60b7084ad2-50101001528193222-0.wav
ล้างล้าง ไอ้ ปิดบัญชี ที่ เรา ค้าง อยู่ เนี่ย ทั้งหมดเลยแล้วก็,148.7,152.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/10/52317_b25be5e5a23ef3a-50101001528168774-0.wav
โหล หรือ ปิดบัญชี ภายใน สี่ เลย ได้,276.35,278.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/10/52315_6756b6acbe0537d-50101001528168114-0.wav
ผม ก็ ไป ปิด บัญชี แล้ว เดือน นี้ ดอกเบี้ย เท่าไหร่ แล้ว เดี๋ยว เดี๋ยว โอเค,69.9,73.64,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/16/52307_1d6489ba3a2921d-50101001528106105-0.wav
สวัสดี ค่ะ %agent(ชนิภา)% จาก collection ขอนแก่น ค่ะ รบกวน ลูกค้า ท่าน นึง ขอ check ยอด ปิด บัญชี ค่ะ,2.25,6.44,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/12/52319_1792b6290e8df0a-50101001528089163-0.wav
เพราะว่ายัง คิด จะ จ่าย อยู่ เพราะ ว่า ใน บัญชี ก็ ดู ได้ นะ คะ ว่า เคย ปิด บัญชี ด้วย,106.1,111.14,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/12/52310_170c345a6b80c34-50101001528089749-0.wav
ตัวเอง พี่ พี่ จะ ประสาน อย่างงี้ ใจ พี่ อยาก จะ ปิด บัญชี พี่ จะ ให้ ทำ เรื่อง นี่พี่ ต้อง ไป ยื่น ที่ไหน ยังไง,79.55,85.39,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/09/52302_3fa47184ef937a9-50101001528079140-0.wav
ค่ะ คุณ ลูกค้า จะ ขอ เช็ก ยอด ปิด บัญชี อ่ะ ค่ะ ใน ส่วน ของ ตอง หก แอล อ่ะ ค่ะ,41.15,45.01,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/01/14/52314_f0f0a58995dc6ab-50101001527836876-0.wav
ลูกค้า จะ ปิด บัญชี วันนี้ เลย ขอ อนุญาต โอน สาย ครับ,31.12,32.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/01/14/52314_f0f0a58995dc6ab-50101001527836876-0.wav
สวัสดี ครับ %agent(ณรงกร)% จาก ศูนย์ ลูกค้า สัมพันธ์ นะ ครับ ลูกค้า ติดต่อ ต้องการ จะ ชำระ ปิด บัญชี ที่ ยอด ของ ปรับปรุง โครงสร้าง หนี้ ไว้ ครับผม,2.55,8.6,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/01/14/52314_f0f0a58995dc6ab-50101001527836876-0.wav
พี่ คะ ถ้า เกิด ว่า หนู จะ ปิด บัญชี,39.19,42.09,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/01/14/52311_eb85b4f6234983f-50101001527836843-0.wav
ขอ อะไรวะ ส่ง เอกสาร ขอ ขอว่า ปิด บัญชี ปิด บัญชี,141.2,146.25,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-139-20239001528365436-45592.wav
จบ ปิด บัญชี ไป แล้วอ่ะ,130.3,131.84,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-139-20239001528365436-45592.wav
ไม่มี ปิด บัญชี ตู้ ครั้ง ร้อย ไหม เนี่ย,126.35,128.24,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-11-20111001528361684-40692.wav
อิออน ทำไม ถึง ทำไม ถึง มี ระบบ อิออน มัน มัน เป็น อย่าง งี้ อ่ะ ครับ เขา จ่าย บิล แรก ของ บิ๊กซี ไป แล้ว พัน นึง แล้ว ก็ เป็น ที่ สอง ของ อิออน อีก เจ็ด พัน กว่า ปิด บัญชี แล้ว,21.9,33.34,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-205-40305001528349078-325582.wav
เพราะว่า งวด งวด นู้น ที่ ผม ส่ง เข้า ไป สอง งวด แล้ว ก็ ปิด บัญชี ไป เลย,62.15,66.94,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-192-20292001528339145-7335.wav
อ่อ เสียแล้วค่ะ ทีนี้ฉันถามว่าถ้าฉันจะปิดบัญชีทำยังไง เพราะว่า,16.07,20.82,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span05-13-10513001507015641-152.wav
พี่พี่ต้องใจเย็นเย็นหน่อยอาจจะแบบว่าอาจจะประมาณสิ้นปีผมว่า %(อะ)% อาจจะปิดบัญชีหมดเลยเพราะว่าผมรำคาญเรื่องโทรตามบ่อย,59.92,67.63,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span01-15-60115001507017778-3.wav
จครับเพราะว่าผมใกล้จะปิดบัญชีแล้วเพราะว่ารอรอรอรอ,56.2,59.59,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span01-15-60115001507017778-3.wav
แต่ว่าถ้าปิดบัญชีเนี่ย พอดีผมไม่มั่นใจว่าเงินผมจะพอรึเปล่าเนี่ยครับ,32.19,36.87,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span05-08-10508001507020123-11.wav
แล้วจริงจริงไอ้ตัวเลขที่ปิด ปิดบัญชีตัวนี้ ตอนนี้ยอดมันเท่าไหร่อ่ะ,95.64,99.16,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-02/span04-24-30424001506917578-37.wav
ว่าถ้าปิดบัญชียังไง อะไรอย่างเงี้ย แต่ว่าไม่เคย ไม่เคยพูดว่าจะปิดบัญชี,86.58,91.94,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span01-04-60104001507019406-59.wav
ก็ยังไม่ได้บอกว่าจะปิดบัญชีอ่ะค่ะ ยังไม่เคยพูด แค่สอบถามเฉยเฉย,81.49,86.31,\\192.168.1.70\Data1\Logger\ACU\ACSS_COLLECTION\20171000_ACSS_P1/2017-10-03/span01-04-60104001507019406-59.wav
