transcription_text,start,stop,path
ชำระขั้นต่ำมาเรื่อยเรื่อยเดี๋ยวเรารักษา,98.18,99.96,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/14/52306_a3fdc78f29809dc-50101001528182768-0.wav
ปิด ไม่ ได้ ยังไง รบกวน เป็น เป็น ขั้นต่ำ ก่อน เนอะ พี่ เนอะ แล้ว ก็,61.75,65.42,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/10/52305_135747308f0e58a-50101001528168421-0.wav
ก็ คือ เค้า เรียก เก็บ อยู่ ที่ หนึ่ง พัน เจ็ด ร้อย เก้า สิบ หก บาท นี้ แต่ ถ้า ไม่ สะดวก ยอด นี้ ดิฉัน ขอ แจ้ง ไว้ ก่อน ก็ คือ ยอด ขั้นต่ำ มัน อยู่ ที่ เก้า ร้อย บาท,51.3,59.39,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/14/52320_2159d041f3cb03c-50101001528354764-0.wav
นัด หลาย ช่อง ทาง นี้ ง่าย ใน การ ค้น ค่ะ หมายเลข ขั้นต่ำ นิดเดียว ที่ นี้ มั้ย เพิ่ม ความ สะดวก ให้ คุณ คุณ คน ค่ะ ผ่าน เซเว่น ไป เวิร์ลไวด์เว็บ ดอท ที โอ ที ดอท ซี โอ ดอท ที เอช,45.75,55.59,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/14/52303_c5c5fd61c98ad41-50101001528356385-0.wav
พี่ นัด หลาย ช่อง ทาง นี้ ง่าย ใน การ ค้น หา หมายเลข ขั้นต่ำ นิดเดียว ทีนี้ ไว้ เพื่อ ความ สะดวก ให้ คุณ คุณ ค้นหา ผ่าน เซเว่น ไป เวิร์ลไวด์เว็บ ดอท เดี๋ยว พี่ แบบ นี้ โกดัง ทีนี้,63,72.84,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/07/12/52319_eb4d009deac7275-50101001528349277-0.wav
ขั้นต่ำ ไว้ ก็ ได้ ขั้น ต่ำ ก็ รวม ทั้งหมด,163.95,166.14,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/16/52313_9f0b39a21c95eeb-50101001528279187-0.wav
ครับผม ติดต่อ จาก บริษัทอิออน นะ ครับ เจ็ด ครับ รบกวน นิดนึง พอดี ของ อิออน นะ อ่า งวด ขั้นต่ำ มัน เดือน นี้ มัน ห้า ร้อย พี่,26.9,34.29,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/14/52306_9474ac31f8a3d0e-50101001528269736-0.wav
ค่างวด ต้อง ชำระ ให้ ครบ ขั้นต่ำ ทุก เดือน ครับ,100.2,102.69,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/10/52316_ba3b24868c64526-50101001528255071-0.wav
อ่า อ่า ได้ ได้ เออ เออ เออ เท่าไหร่ ขั้นต่ำเท่าไหร่,107.35,110.39,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/06/10/52302_17e7daa8216216e-50101001528255989-0.wav
พ.ย. ขั้นต่ำ เท่าไหร่ ครับ,79.7,80.94,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/14/52320_689ebc87907702b-50101001528184091-0.wav
เหลือขั้นต่ำอย่างเดียว,105.8,108,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/12/52319_0c0e5aebfa93380-50101001528175518-0.wav
อันนี้กดเงินสดอย่างเดียว แล้วขั้นต่ำที่ต้องจ่ายล่ะคะ,78.93,82.59,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/12/52319_0c0e5aebfa93380-50101001528175518-0.wav
ใช่ ใช่ เพราะ ว่า ถ้าเป็นผมแจ้งเนี่ย ผมจะแจ้งขั้นต่ำ,106.65,109.74,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/05/10/52313_4e5b3fff4888185-50101001528168007-0.wav
ครับ ครับ อัน นี้ เป็น ขั้นต่ำ เหรอ ครับ,43.3,45.34,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/15/52305_71adec576970615-50101001528101848-0.wav
อ๋อ อย่างงี้ ได้ แต่ว่า พี่ ก็ ต้อง มี ขั้น ยอด ขั้นต่ำ เข้า มา ทุก เดือน อยู่ แล้ว อ่ะ ค่ะ,145.6,150.49,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/11/52315_5cdb4e305ee63fd-50101001528086666-0.wav
อ๋อ ไม่ ต้อง ทบ ก็ ได้ ครับ คือ รักษา รักษา ประวัติ ขั้นต่ำ ไว้ ก่อน ก็ ได้ ครับ,90.55,94.34,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/04/09/52306_949fdb249718ed9-50101001528080230-0.wav
กู้ ของ ลูกค้า ไป นะ คะ แต่ว่า อย่าง น้อย ให้ ตัด ขั้นต่ำ เข้า มา ก่อน ประวัติ ลูกค้า จะ ได้,106.44,110.45,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-149-40249001528363433-343826.wav
ทีนี้ ไอ้ ตัว ปิด อ่ะ ไม่ มี ปัญหา หรอก ลูกค้า ลูกค้า ตัด ขั้นต่ำ เข้า มา ก่อน น่ะ ค่ะ อย่าง อื่น จะ ปิด อะไร เนี่ย มัน มัน มัน เรื่อง ง่าย มาก,76.82,82.84,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-149-40249001528363433-343826.wav
ขั้นต่ำ นี่ เท่าไหร่ คะ,105.14,106.74,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/01/14/52311_eb85b4f6234983f-50101001527836843-0.wav
ที่ ผม แจ้ง รบกวน นิดนึง ไอ้ ยอด ขั้นต่ำ สัก งวด นึง นี่ พอ ชำระ ได้ ไหม,186.04,190.24,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/01/13/52306_7476283152f25e0-50101001527834273-0.wav
สอง ที่ แล้ว ก็ เลย จะ ยอด ขั้นต่ำ,171.05,173.64,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180600_COLNS_01/2018/06/01/09/52318_3090174090a3f28-50101001527821958-0.wav
ค่ะ ถ้า ไป ชำระ ที่ ตู้ ก็ คือ เสียบ บัตร เลือก บริการ ชำระ เงิน นะ คะ แล้ว ก็ เลือก เป็น บัญชี ขั้นต่ำ ค่ะ,38.72,44.76,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-160-40260001528369060-351334.wav
คือ ผม แล้วกัน ยอด เต็ม ทั้งหมด คือ ผม ไม่ จ่าย ยอด เต็ม เลย หรือ เปล่า อ่ะ ขั้นต่ำ ผม แจ้ง หก หก ขั้นต่ำ ตอน นี้ ใช่ มั้ย ครับ แล้ว ยอด เต็ม เหรอ ครับ แล้ว ก็ ตัด ไป ผม ทิ้ง,48,55.39,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-200-20300001528369014-50137.wav
แล้ว ขั้นต่ำ เท่าไหร่ ครับ ว่า ยอด เต็ม เท่าไหร่ ผม จะ จ่าย ยอด เต็ม แล้ว คุณ ก็ ตัด สาย ทิ้ง ไป แล้ว ผม ติดต่อ เข้า ไป,30.4,36.14,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-200-20300001528369014-50137.wav
ก็ หา จ่าย ยอด ขั้นต่ำ เข้า มา ค่ะ อย่าง น้อย หนึ่ง งวด นะ คะ,161.1,164.34,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-131-40231001528368574-350873.wav
อ๋อ ก็ คือ คือ อย่างงี้ คือ คือ ตอน เนี่ย เรา เรา ก็ เรียก อะไร ปรับ ลด ใน ส่วน ของ ตัว ขั้นต่ำ ของ ตัว บัตร ยัวร์แคช เนี่ย เรา เรียก เก็บ น้อย ลง,69.9,77.99,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-42-20142001528367308-48167.wav
เก้า ขั้นต่ำ มัน อยู่ ที่ เก้า พัน หนึ่ง ร้อย ห้า สิบ บาท นะ คะ ลูกค้า,44.05,47.29,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-209-40309001528367219-349526.wav
ยอด เดือน นี้ ยอด ขั้นต่ำ มัน อยู่ ที่ พัน สี่ ร้อย,61.7,65.59,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-209-40309001528365929-347320.wav
อ่า กด เงินสด มาใช้ ด้วย แต่ว่า กับ %?% บัตร มัน ผ่อน ไม่ถึงขั้นต่ำ เลย ทยอย แบ่ง ไป พอดี ยัง ไม่ ทำงาน อ่ะ ค่ะ %?%,91.35,98.09,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-177-20277001528364609-44298.wav
เดี๋ยว ผม แป๊บ นึง นะ ลูกค้า ถ้า ลูกค้า ไม่ มี เดี๋ยว ผม คิด ยอด ขั้นต่ำ ให้ ก่อน,28.36,31.59,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-158-40258001528363905-344347.wav
อ๋อ ลูกค้า ลูกค้า สะดวก ไหม ล่ะ คะ พอ ยอด ขั้นต่ำ มัน อยู่ ที่ สาม ร้อย บาท,93.6,97.64,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-209-40309001528362805-342731.wav
ใช่ ถ้า แนะนำ อ่ะ ค่ะ ครั้ง ต่อ ไป ให้ เรา จะ เกิน จาก ชำระ เกิน จาก ขั้นต่ำ ลด ต้น ลด ดอก แล้ว อยู่ แล้ว,221.74,227.52,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-196-40296001528362595-342544.wav
คุณ ดิฉัน แนะนำ อ่ะ ค่ะ คุณ ชำระ เกิน จาก ขั้นต่ำ,206.2,209.3,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-196-40296001528362595-342544.wav
จ่าย ขั้นต่ำ ก็ พอ อยู่ ที่ สี่ หก หนึ่ง,78.2,80.92,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-17-20117001528362298-41568.wav
ห้า พัน เนาะ ถ้า จะ จ่าย ขั้นต่ำ มัน จะ กด ได้ แค่ สี่ พัน หนึ่ง,38.35,42.34,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-164-40264001528361876-341765.wav
ลูกค้า ชำระ เข้า มา เนี่ย นะ คะ ยอด เงิน มัน เป็น ยอด ขั้นต่ำ แล้ว อีก อย่าง เนี่ย มัน จะ ไป วิ่ง เข้า ใน ส่วน ของ ดอกเบี้ย,54.1,60.84,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-174-20274001528361733-40780.wav
ยอดขั้นต่ำ พี่ สาม พัน หก สิบ หก บาท,199.25,201.84,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-140-20240001528361499-40490.wav
อ๋อ เพราะ ว่า มัน ตัด ระบบ บัญชี ไม่ ได้ เพราะ จริง จริง แล้ว ต้อง ต้อง ชำระ ยอด ขั้นต่ำ เนี่ย พัน หก ร้อย หก สิบ เก้า แต่ ทีนี้,78.04,84.02,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-142-40242001528361325-341241.wav
อือ ถ้า ทยอย ชำระ อ่ะ %(รอด)% ยอด ขั้นต่ำ มัน จะ เป็น หนึ่ง พัน ห้า ร้อย อ่า หนึ่ง พัน หก ร้อย บาท นะ คะ,158.88,164.24,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-37-20137001528360991-39734.wav
เติม จาก ขั้นต่ำ เดิม ไป ประมาณ สาม ร้อย ห้า สิบ สี่ บาท,150.15,153.15,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20180608_COLBKK_TESTSET/20180608/ch-149-20249001528360717-39197.wav
