transcription_text,start,stop,path
ค่ะ รบกวนขอทราบเบอร์มือถือที่สามารถติดต่อได้ค่ะคุณลูกค้า,38.75,43,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20171000_COLCHM_P01/2017-09-26/52176_47b47767709acaa-50101001506395221-0.wav
ขอทราบเบอร์มือถือติดต่อด้วยค่ะ,76.06,78.5,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20171000_COLCHM_P01/2017-09-19/52180_46f8ab18fa49f01-50101001505799654-0.wav
ขอทราบเบอร์มือถือติดต่อคุณลูกค้าด้วยค่ะ,42.33,45.19,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20171000_COLCHM_P01/2017-09-26/52180_d29ab9ddb864461-50101001506409039-0.wav
ของคุณลูกค้า อ่า ขอทราบเบอร์มือถือที่ใช้อยู่ค่ะ ตอนนี้ใช้เป็นเบอร์ไหนคะ,5.2,10.25,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20171000_COLCHM_P01/2017-09-21/52181_10f9a677ef7dc91-50101001505963274-0.wav
ค่ะ ของคุณลูกค้าขอทราบเบอร์มือถือที่ใช้อยู่ตอนนี้ใช้เป็นเบอร์ไหนคะ,30.4,34.5,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20171000_COLCHM_P01/2017-09-22/52181_63f487d714ea742-50101001506061114-0.wav
ค่ะของคุณลูกค้า ขอทราบเบอร์มือถือที่ใช้อยู่ค่ะ ตอนนี้ใช้เป็นเบอร์ไหนคะ,26.86,31.27,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20171000_COLCHM_P01/2017-09-20/52181_c505f49b48f2f47-50101001505887591-0.wav
ค่ะ ของคุณลูกค้า ขอทราบเบอร์มือถือที่ใช้อยู่ ค่ะ ตอนนี้ใช้เป็นเบอร์ไหนค่ะ,30.4,34.85,\\192.168.1.70\Data1\Logger\ACU\AEON_COLLECTION\20171000_COLCHM_P01/2017-09-21/52181_cebb91db0b472eb-50101001505978244-0.wav
ขอทราบเบอร์มือถือคุณ %name% ค่ะ,52.05,54.65,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSKK_P1/2017-05-03/ch-27-40127001493792772-9392.wav
ค่ะ ขอทราบเบอร์มือถือที่ติดต่อได้สะดวกนะคะ,82.75,85.95,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSKK_P1/2017-04-26/ch-42-40142001493190145-65130.wav
ค่ะ ขอทราบเบอร์มือถือที่ติดต่อได้สะดวกค่ะ,54.71,58.24,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSKK_P1/2017-05-03/ch-60-40160001493794901-10368.wav
ค่ะ ขอทราบเบอร์มือถือที่ติดต่อได้สะดวกนะคะ,136.1,139.83,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSKK_P1/2017-04-24/ch-33-40133001493010043-46539.wav
ขอทราบเบอร์มือถือที่ติดต่อได้สะดวกค่ะ,43.55,46.55,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-26/ch-72-60172001493186985-130481.wav
ขอทราบเบอร์มือถือที่ใช้ในปัจจุบันค่ะ,55.27,58.54,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-23/ch-69-60169001492934677-205183.wav
ขอทราบเบอร์มือถือที่ใช้ ณ ปัจจุบันค่ะ,35.48,38.58,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-27/ch-69-60169001493262161-214792.wav
ขอทราบเบอร์มือถือที่ใช้งานปัจจุบัน,29.6,32.35,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-24/ch-62-60162001493013780-224035.wav
ขอทราบเบอร์มือถือที่ใช้ ณ ปัจจุบันค่ะ,62.6,65.45,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-27/ch-69-60169001493276534-251069.wav
ขอทราบเบอร์มือถือที่สามารถติดต่อได้นะคะ,35.29,38.5,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-24/ch-72-60172001493017201-230468.wav
ขอทราบเบอร์มือถือที่ใช้งานปัจจุบันค่ะ,50.65,53.8,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-23/ch-62-60162001492930989-204928.wav
อ่า ขอทราบเบอร์มือถือที่สามารถติดต่อได้สะดวกค่ะ,26.2,29.45,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-25/ch-86-60186001493096653-299251.wav
ขอทราบเบอร์มือถือที่สามารถติดต่อได้สะดวกค่ะ,37.6,40.85,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-24/ch-82-60182001493007504-218549.wav
ค่ะ ขอทราบเบอร์มือถือที่สามารถติดต่อได้สะดวกค่ะ,46.4,49.72,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-27/ch-86-60186001493269355-232838.wav
สองห้าสองสี่ ขอทราบเบอร์มือถือที่สามารถติดต่อได้สะดวกค่ะ,35.98,40.4,\\192.168.1.70\Data1\Logger\ACU\AEON_CMS\20170400_CMSBKK_P1/2017-04-27/ch-86-60186001493265774-226335.wav
